SL.No,No of cycles,fatigue stress(strength) (MPa),Solution temp (cel),Sol time (hrs),Temp.  measurement  (cel),Ann/Age. temp (cel),Ann/age time (hrs),total strain (%),R,Frequency(Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr
1,86,1067.63,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
2,102,685.38,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
3,103,725,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
4,103,700.06,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
5,103,711.56,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
6,103,649.41,1025,2,500,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
7,116,912.52,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
8,143,1061.22,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
9,148,910.33,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
10,149,928.1,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
11,173,935.34,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
12,182,1059.34,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
13,209,918.5,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
14,211,935.22,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
15,234,695.05,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
16,235,1049.37,1025,2,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
17,235,709.43,1020,1,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
18,249,915.24,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
19,249,935.1,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
20,261,699.05,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
21,262,649.55,1025,2,500,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
22,275,1041.23,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
23,285,716,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
24,290,1426.014,0,0,350,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
25,304,1036.68,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
26,319,709.07,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
27,325,910.82,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
28,326,931.73,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
29,334,682.015,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
30,336,648.92,1025,2,500,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
31,370,907.55,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
32,370,929.5,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
33,394,706,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
34,395,1020.37,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
35,395,690.3,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
36,399,909.55,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
37,401,927.31,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
38,432,679.92,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
39,435,644.52,1025,2,500,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
40,438,708.4,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
41,444,900,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
42,448,1010.41,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
43,461,922.94,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
44,486,1004.95,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
45,498,900.87,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
46,499,920.73,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
47,516,1000.4,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
48,535,694,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
49,535,685.86,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
50,536,680.69,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
51,536,640.4,1025,2,500,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
52,562,992.248,0,0,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
53,562,1275.41,1020,1,400,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
54,566,702.24,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
55,575,897.49,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
56,576,915.26,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
57,594,678.91,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
58,596,985.906,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
59,607,1193.95,0,0,450,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
60,612,984.972,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
61,621,907.8,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
62,635,678.3,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
63,637,682,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
64,652,717.14,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
65,654,897.25,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
66,654,902.47,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
67,654,688.35,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
68,668,635.11,1025,2,500,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
69,677,899.26,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
70,698,892.93,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
71,699,891.88,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
72,705,965.078,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
73,715,1154.4,0,0,500,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
74,721,334.21,1020,2,650,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
75,753,883.35,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
76,755,885.43,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
77,757,947.974,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
78,767,682.22,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
79,768,678,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
80,778,937.205,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
81,800,868.57,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
82,824,689.93,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
83,825,726.48,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
84,829,886.24,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
85,834,848.6,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
86,840,419.78,1020,2,600,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
87,854,1112.62,0,0,600,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
88,854,688.18,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
89,859,638.11,1025,2,500,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
90,865,680,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
91,873,875.65,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
92,906,874.51,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
93,919,735.035,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
94,947,1067.84,0,0,650,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
95,964,867.01,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
96,973,703.91,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
97,986,698.72,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
98,987,690,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
99,1000,494,0,0,550,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
100,1000,570,0,0,450,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
101,1000,600,0,0,300,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
102,1000,494,0,0,25,0,0,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0
103,1000,570,0,0,25,800,4,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0
104,1000,600,0,0,25,900,4,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0
105,1220,444.86,1020,2,500,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
106,1420,637.76,1020,2,400,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
107,1475,561.41,1020,2,450,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
108,1568,673.14,1020,2,350,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
109,10000,400,0,0,550,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
